,Player,Draft_Year,Pick_Number,Weighted Griddy AV
495,Sterling Shepard,2016,40,90
496,Curtis Samuel,2017,40,138
497,Courtland Sutton,2018,40,152
498,Trayvon Mullen,2019,40,58
499,Ross Blacklock,2020,40,32
500,Richie Grant,2021,40,68
501,Boye Mafe,2022,40,20
502,Jarvis Jenkins,2011,41,2
503,Cordy Glenn,2012,41,22
504,Robert Woods,2013,41,186
505,Lamarcus Joyner,2014,41,102
506,Devin Funchess,2015,41,10
507,Reggie Ragland,2016,41,96
508,Dalvin Cook,2017,41,322
509,Harold Landry,2018,41,172
510,Dalton Risner,2019,41,158
511,Jonathan Taylor,2020,41,252
512,Levi Onwuzurike,2021,41,8
513,Kenneth Walker III,2022,41,80
514,Rob Gronkowski,2010,42,104
515,Brooks Reed,2011,42,16
516,Jordan Matthews,2014,42,4
517,Kamalei Correa,2016,42,34
518,Marcus Williams,2017,42,158
519,Mike Gesicki,2018,42,134
520,Drew Lock,2019,42,72
521,Laviska Shenault Jr.,2020,42,92
522,Liam Eichenberg,2021,42,106
523,Andrew Booth,2022,42,10
524,Kyle Rudolph,2011,43,60
525,Weston Richburg,2014,43,44
526,Benardrick McKinney,2015,43,70
527,Austin Johnson,2016,43,128
528,Sidney Jones,2017,43,70
529,Kerryon Johnson,2018,43,40
530,Jahlani Tavai,2019,43,126
531,Cole Kmet,2020,43,122
532,Tre'von Moehrig,2021,43,80
533,Wan'Dale Robinson,2022,43,20
534,Jeff Allen,2012,44,8
535,Kawann Short,2013,44,26
536,Jihad Ward,2016,44,76
537,Gerald Everett,2017,44,126
538,Dante Pettis,2018,44,56
539,Elgton Jenkins,2019,44,234
540,Grant Delpit,2020,44,84
541,Kelvin Joseph,2021,44,18
542,Zane Beadles,2010,45,6
543,Alshon Jeffery,2012,45,34
544,Kevin Minter,2013,45,44
545,Paul Richardson,2014,45,12
546,Eric Kendricks,2015,45,232
547,Derrick Henry,2016,45,328
548,Adam Shaheen,2017,45,18
549,Josh Jackson,2018,45,34
550,Joejuan Williams,2019,45,4
551,Antoine Winfield Jr.,2020,45,150
552,Walker Little,2021,45,38
553,Connor Barwin,2009,46,4
554,Linval Joseph,2010,46,152
555,Mychal Kendricks,2012,46,28
556,Kiko Alonso,2013,46,22
557,Stephon Tuitt,2014,46,80
558,Jaquiski Tartt,2015,46,80
559,A'Shawn Robinson,2016,46,124
560,Quincy Wilson,2017,46,4
561,Breeland Speaks,2018,46,6
562,Greedy Williams,2019,46,40
563,KJ Hamler,2020,46,36
564,Jackson Carman,2021,46,32
565,Josh Paschal,2022,46,20
566,Mike Nugent,2005,47,8
567,Mike Mitchell,2009,47,4
568,Lance Kendricks,2011,47,2
569,Bobby Wagner,2012,47,408
570,Trent Murphy,2014,47,90
571,Eric Rowe,2015,47,98
572,Michael Thomas,2016,47,124
573,Tyus Bowser,2017,47,124
574,Christian Kirk,2018,47,246
575,Marquise Blair,2019,47,8
576,Marlon Davidson,2020,47,22
577,Asante Samuel Jr.,2021,47,74
578,Stefen Wisniewski,2011,48,16
579,Tavon Wilson,2012,48,20
580,Le'Veon Bell,2013,48,38
581,Timmy Jernigan,2014,48,18
582,Denzel Perryman,2015,48,186
583,Jason Spriggs,2016,48,10
584,Joe Mixon,2017,48,238
585,Uchenna Nwosu,2018,48,164
586,Erik McCoy,2019,48,162
587,Darrell Taylor,2020,48,54
588,Aaron Banks,2021,48,78
589,Jaquan Brisker,2022,48,40
590,DeSean Jackson,2008,49,80
591,Max Unger,2009,49,26
592,Johnathan Hankins,2013,49,152
593,Mitch Morse,2015,49,238
594,Jarran Reed,2016,49,202
595,Ryan Anderson,2017,49,20
596,Dallas Goedert,2018,49,190
597,Ben Banogu,2019,49,28
598,Chase Claypool,2020,49,154
599,Rondale Moore,2021,49,70
600,Alontae Taylor,2022,49,30
601,Calais Campbell,2008,50,246
602,Marcus Gilchrist,2011,50,10
603,Jonathan Bostic,2013,50,138
604,Jeremiah Attaochu,2014,50,36
605,Ronald Darby,2015,50,120
606,Nick Martin,2016,50,110
607,Justin Evans,2017,50,28
608,Connor Williams,2018,50,202
609,Irv Smith Jr.,2019,50,50
610,Jaylon Johnson,2020,50,100
611,Azeez Ojulari,2021,50,86
612,Tyquan Thornton,2022,50,20
613,Andy Levitre,2009,51,2
614,David Amerson,2013,51,4
615,Nate Orchard,2015,51,4
616,DeMarcus Walker,2017,51,84
617,Anthony Miller,2018,51,52
618,A.J. Brown,2019,51,342
619,Trevon Diggs,2020,51,234
620,Samuel Cosmi,2021,51,62
621,Cam Jurgens,2022,51,10
622,Zach Brown,2012,52,24
623,Jamie Collins,2013,52,142
624,Jordan Phillips,2015,52,110
625,Deion Jones,2016,52,164
626,DeShone Kizer,2017,52,2
627,Kemoko Turay,2018,52,6
628,Drew Sample,2019,52,26
629,Cam Akers,2020,52,84
630,Jeremiah Owusu-Koramoah,2021,52,72
631,George Pickens,2022,52,70
632,LeSean McCoy,2009,53,34
633,Margus Hunt,2013,53,42
634,Davante Adams,2014,53,412
635,Jake Fisher,2015,53,2
636,Su'a Cravens,2016,53,2
637,Teez Tabor,2017,53,4
638,M.J. Stewart,2018,53,14
639,Miles Sanders,2019,53,224
640,Jalen Hurts,2020,53,360
641,Dillon Radunz,2021,53,28
642,Alec Pierce,2022,53,40
643,Carlos Dunlap,2010,54,118
644,Jamar Taylor,2013,54,18
645,Ameer Abdullah,2015,54,58
646,Mackensie Alexander,2016,54,54
647,Raekwon McMillan,2017,54,66
648,Jessie Bates III,2018,54,222
649,Lonnie Johnson Jr.,2019,54,58
650,A.J. Epenesa,2020,54,50
651,Dayo Odeyingbo,2021,54,38
652,Skyy Moore,2022,54,20
653,Andrew Whitworth,2006,55,150
654,Sean Lee,2010,55,40
655,Rodney Hudson,2011,55,172
656,Vance McDonald,2013,55,24
657,Maxx Williams,2015,55,26
658,Tyler Boyd,2016,55,234
659,Dalvin Tomlinson,2017,55,204
660,Donte Jackson,2018,55,130
661,Max Scharping,2019,55,104
662,J.K. Dobbins,2020,55,82
663,Pat Freiermuth,2021,55,92
664,Trey McBride,2022,55,20
665,Cody Latimer,2014,56,10
666,Cody Whitehair,2016,56,186
667,Duke Dawson,2018,56,14
668,Mecole Hardman,2019,56,150
669,Raekwon Davis,2020,56,158
670,D'Wayne Eskridge,2021,56,18
671,Sam Williams,2022,56,20
672,Chad Henne,2008,57,6
673,Brock Osweiler,2012,57,6
674,D.J. Swearinger,2013,57,26
675,Carlos Hyde,2014,57,72
676,Rob Havenstein,2015,57,242
677,T.J. Green,2016,57,8
678,Zach Cunningham,2017,57,156
679,P.J. Hall,2018,57,44
680,JJ Arcega-Whiteside,2019,57,10
681,Van Jefferson,2020,57,106
682,Tutu Atwell,2021,57,30
683,Luke Goedeke,2022,57,30
684,Torrey Smith,2011,58,4
685,Lavonte David,2012,58,268
686,Markus Golden,2015,58,160
687,Sean Davis,2016,58,24
688,Ethan Pocic,2017,58,140
689,Isaiah Oliver,2018,58,74
690,Trysten Hill,2019,58,34
691,Ezra Cleveland,2020,58,148
692,Nick Bolton,2021,58,118
693,Troy Andersen,2022,58,30
694,Ryan Kalil,2007,59,24
695,Vinny Curry,2012,59,46
696,Ty Sambrailo,2015,59,44
697,Tanoh Kpassagnon,2017,59,118
698,Derrius Guice,2018,59,8
699,Parris Campbell,2019,59,76
700,Denzel Mims,2020,59,36
701,Terrace Marshall Jr.,2021,59,48
702,Ed Ingram,2022,59,70
703,Golden Tate,2010,60,50
704,Kelechi Osemele,2012,60,24
705,Robert Alford,2013,60,24
706,Kony Ealy,2014,60,0
707,Randy Gregory,2015,60,80
708,Cyrus Jones,2016,60,8
709,Chidobe Awuzie,2017,60,116
710,James Washington,2018,60,58
711,Nasir Adderley,2019,60,112
712,Josh Uche,2020,60,36
713,Pete Werner,2021,60,90
714,Cam Taylor-Britt,2022,60,40
715,Vlad Ducasse,2010,61,6
716,Allen Robinson,2014,61,170
717,Ali Marpet,2015,61,162
718,Vonn Bell,2016,61,190
719,Josh Jones,2017,61,56
720,DJ Chark,2018,61,118
721,Taylor Rapp,2019,61,134
722,Kristian Fulton,2020,61,88
723,Boogie Basham,2021,61,28
724,Drake Jackson,2022,61,20
725,Casey Hayward,2012,62,118
726,Jimmy Garoppolo,2014,62,278
727,James Bradberry,2016,62,256
728,JuJu Smith-Schuster,2017,62,170
729,Brian O'Neill,2018,62,256
730,Andy Isabella,2019,62,20
731,AJ Dillon,2020,62,154
732,Josh Myers,2021,62,114
733,Bryan Cook,2022,62,10
734,Marcus Gilbert,2011,63,4
735,Travis Kelce,2013,63,360
736,Jarvis Landry,2014,63,170
737,Frank Clark,2015,63,248
738,Adam Gotsis,2016,63,100
739,Dion Dawkins,2017,63,308
740,Carlton Davis,2018,63,146
741,Juan Thornhill,2019,63,124
742,Willie Gay Jr.,2020,63,124
743,Creed Humphrey,2021,63,202
744,James Cook,2022,63,50
745,Randall Cobb,2011,64,130
746,Dwayne Allen,2012,64,0
747,Justin Britt,2014,64,56
748,Jordan Richards,2015,64,18
749,Kevin Byard,2016,64,248
750,Taylor Moton,2017,64,214
751,Tyquan Lewis,2018,64,64
752,D.K. Metcalf,2019,64,282
753,Jeremy Chinn,2020,64,228
754,Nik Bonitto,2022,64,20
755,Frank Gore,2005,65,50
756,John Greco,2008,65,8
757,Terrell McClain,2011,65,4
758,Trumaine Johnson,2012,65,18
759,Larry Warford,2013,65,64
760,Carl Nassib,2016,65,72
761,Larry Ogunjobi,2017,65,214
762,Brandon Parker,2018,65,82
763,Zach Allen,2019,65,134
764,Logan Wilson,2020,65,156
765,Andre Cisco,2021,65,76
766,Luke Fortner,2022,65,80
767,Josh Robinson,2012,66,2
768,Morgan Moses,2014,66,208
769,Ahkello Witherspoon,2017,66,48
770,Lorenzo Carter,2018,66,186
771,Diontae Johnson,2019,66,214
772,Antonio Gibson,2020,66,160
773,Brian Asamoah,2022,66,10
774,Bennie Logan,2013,67,2
775,Billy Turner,2014,67,180
776,A.J. Cann,2015,67,126
777,Maliek Collins,2016,67,184
778,Alvin Kamara,2017,67,302
779,Chad Thomas,2018,67,20
780,Julian Okwara,2020,67,26
781,Davis Mills,2021,67,126
782,Joshua Ezeudu,2022,67,10
