,Player,Draft_Year,Pick_Number,Weighted Griddy AV
1543,Caraun Reid,2014,158,6
1544,Brandon Shell,2016,158,162
1545,Nate Hairston,2017,158,26
1546,Andrew Brown,2018,158,8
1547,Michael Jackson,2019,158,60
1548,Bryce Hall,2020,158,52
1549,Daviyon Nixon,2021,158,10
1550,Lee Smith,2011,159,2
1551,Micah Hyde,2013,159,182
1552,Chris Smith,2014,159,14
1553,Jermaine Eluemunor,2017,159,116
1554,Daurice Fountain,2018,159,0
1555,Byron Cowart,2019,159,62
1556,Brenden Jaimes,2021,159,18
1557,Eric Johnson,2022,159,10
1558,Josh Johnson,2008,160,20
1559,Jesse James,2015,160,24
1560,Kentrell Brothers,2016,160,6
1561,Roderick Johnson,2017,160,24
1562,Ogbonnia Okoronkwo,2018,160,68
1563,Nick Harris,2020,160,14
1564,Otito Ogbonnia,2022,160,10
1565,Randy Bullock,2012,161,88
1566,Corey Linsley,2014,161,290
1567,Christian Westerman,2016,161,2
1568,Anthony Walker,2017,161,126
1569,Jermaine Carter Jr.,2018,161,104
1570,Charles Omenihu,2019,161,68
1571,Tyler Johnson,2020,161,36
1572,Tommy Doyle,2021,161,8
1573,Jeremy McNichols,2017,162,36
1574,Khaleke Hudson,2020,162,30
1575,Noah Gray,2021,162,30
1576,Reshad Jones,2010,163,14
1577,Daniel Kilgore,2011,163,40
1578,Jordan Mills,2013,163,30
1579,Trevor Davis,2016,163,4
1580,Matt Milano,2017,163,346
1581,Tim Settle,2018,163,56
1582,Jake Bailey,2019,163,44
1583,Kindle Vildor,2020,163,52
1584,Darrick Forrest,2021,163,50
1585,Kyle Philips,2022,163,10
1586,Thomas Morstead,2009,164,62
1587,Mike Gillislee,2013,164,0
1588,A.J. McCarron,2014,164,4
1589,Lorenzo Doss,2015,164,0
1590,Halapoulivaati Vaitai,2016,164,102
1591,Isaac Asiata,2017,164,0
1592,Natrell Jamerson,2018,164,2
1593,E.J. Speed,2019,164,40
1594,Kyren Williams,2022,164,20
1595,Pernell McPhee,2011,165,62
1596,Sam Martin,2013,165,66
1597,Bradley Pinion,2015,165,52
1598,Tyreek Hill,2016,165,390
1599,Jamal Agnew,2017,165,70
1600,Jaylen Samuels,2018,165,24
1601,Joe Jackson,2019,165,8
1602,Collin Johnson,2020,165,20
1603,Marvin Jones,2012,166,170
1604,Joe Cardona,2015,166,30
1605,D.J. Reader,2016,166,168
1606,Shelton Gibson,2017,166,0
1607,Wyatt Teller,2018,166,218
1608,Quintez Cephus,2020,166,34
1609,Keith Taylor,2021,166,36
1610,George Iloka,2012,167,4
1611,Marqui Christian,2016,167,18
1612,Avery Moss,2017,167,8
1613,Daniel Carlson,2018,167,126
1614,Jake Fromm,2020,167,8
1615,Nate Hobbs,2021,167,54
1616,DaRon Bland,2022,167,40
1617,Corey Graham,2007,168,8
1618,Ricky Wagner,2013,168,70
1619,Michael Burton,2015,168,0
1620,Marquel Lee,2017,168,20
1621,Jamarco Jones,2018,168,40
1622,John Hightower,2020,168,6
1623,Braxton Jones,2022,168,80
1624,Marshall Newhouse,2010,169,20
1625,David Mayo,2015,169,84
1626,Treston Decoud,2017,169,0
1627,Jordan Wilkins,2018,169,32
1628,David Edwards,2019,169,160
1629,Harrison Hand,2020,169,14
1630,Richard LeCounte,2021,169,8
1631,Eric Kush,2013,170,24
1632,Tye Smith,2015,170,10
1633,Cole Toner,2016,170,12
1634,Darius Phillips,2018,170,36
1635,Austin Seibert,2019,170,20
1636,Broderick Washington Jr.,2020,170,66
1637,Garret Wallow,2021,170,36
1638,Teagan Quitoriano,2022,170,10
1639,Greg Zuerlein,2012,171,78
1640,Nick Boyle,2015,171,26
1641,Alex Collins,2016,171,36
1642,Nathan Peterman,2017,171,12
1643,Mike White,2018,171,46
1644,Darius Slayton,2019,171,146
1645,Brandon Fusco,2011,172,8
1646,D.J. Alexander,2015,172,2
1647,Rashard Higgins,2016,172,60
1648,Isaiah McKenzie,2017,172,102
1649,JK Scott,2018,172,44
1650,Jordan Miller,2019,172,4
1651,Deommodore Lenoir,2021,172,58
1652,Samuel Womack,2022,172,20
1653,Alfred Morris,2012,173,12
1654,Wesley Johnson,2014,173,2
1655,James O'Shaughnessy,2015,173,34
1656,Brian Allen,2017,173,0
1657,Johnny Townsend,2018,173,4
1658,Cole Holcomb,2019,173,154
1659,Darnell Mooney,2020,173,168
1660,Tedarrell Slaton,2021,173,28
1661,Charles Clay,2011,174,10
1662,Devon Kennard,2014,174,100
1663,Cameron Artis-Payne,2015,174,2
1664,Eric Saubert,2017,174,10
1665,Marquez Valdes-Scantling,2018,174,164
1666,KeeSean Johnson,2019,174,20
1667,Larrell Murchison,2020,174,30
1668,Earnest Brown IV,2021,174,10
1669,Dominique Robinson,2022,174,30
1670,Delanie Walker,2006,175,8
1671,Jatavis Brown,2016,175,18
1672,Damion Ratley,2018,175,16
1673,Kamal Martin,2020,175,26
1674,Jason Pinnock,2021,175,28
1675,Dwayne Harris,2011,176,2
1676,David Quessenberry,2013,176,126
1677,Andy Janovich,2016,176,2
1678,John Kelly,2018,176,2
1679,Kaden Smith,2019,176,14
1680,K.J. Osborn,2020,176,90
1681,K.J. Britt,2021,176,18
1682,Damone Clark,2022,176,30
1683,Don Carey,2009,177,0
1684,Justin Bethel,2012,177,34
1685,Dustin Hopkins,2013,177,76
1686,Trent Taylor,2017,177,10
1687,Duke Ejiofor,2018,177,2
1688,Michael Danna,2020,177,40
1689,James Mitchell,2022,177,10
1690,Nick Folk,2007,178,90
1691,Aldrick Robinson,2011,178,4
1692,Davon Godchaux,2017,178,212
1693,Gardner Minshew II,2019,178,118
1694,Justin Strnad,2020,178,24
1695,Shemar Jean-Charles,2021,178,8
1696,John Ridgeway,2022,178,30
1697,Sam Young,2010,179,26
1698,Jon Halapio,2014,179,30
1699,Parry Nickerson,2018,179,6
1700,Lamont Gaillard,2019,179,12
1701,Bradlee Anae,2020,179,6
1702,Kingsley Enagbare,2022,179,40
1703,Tyrod Taylor,2011,180,26
1704,Michael Bennett,2015,180,0
1705,Danny Isidora,2017,180,8
1706,Folorunso Fatukasi,2018,180,128
1707,Corey Ballentine,2019,180,10
1708,Hakeem Adeniji,2020,180,70
1709,Talanoa Hufanga,2021,180,146
1710,Latavius Murray,2013,181,138
1711,Alfred Blue,2014,181,10
1712,Kylie Fitts,2018,181,6
1713,Jaquan Johnson,2019,181,38
1714,Netane Muti,2020,181,22
1715,Kyron Johnson,2022,181,10
1716,Kenjon Barner,2013,182,4
1717,Antone Exum,2014,182,6
1718,Aaron Jones,2017,182,336
1719,Michael Onwenu,2020,182,152
1720,Adetokunbo Ogundeji,2021,182,92
1721,Devante Bond,2016,183,4
1722,Ukeme Eligwe,2017,183,2
1723,Justin Skule,2019,183,38
1724,Cam Brown,2020,183,24
1725,Kaelin Clay,2015,184,0
1726,Jerell Adams,2016,184,0
1727,Nathan Gerry,2017,184,74
1728,Marcell Harris,2018,184,96
1729,Travis Fulgham,2019,184,24
1730,Bravvion Roy,2020,184,70
1731,DeAndre Houston-Carson,2016,185,54
1732,Caleb Brantley,2017,185,0
1733,Deon Cain,2018,185,4
1734,Ka'dar Hollman,2019,185,6
1735,Blake Ferguson,2020,185,24
1736,Nick Niemann,2021,185,18
1737,Christian Benford,2022,185,20
1738,Geremy Davis,2015,186,0
1739,Jakeem Grant,2016,186,56
1740,Chuck Clark,2017,186,194
1741,Jacob Martin,2018,186,78
1742,Ty Johnson,2019,186,62
1743,Alohi Gilman,2020,186,44
1744,Hamsah Nasirildeen,2021,186,18
1745,John Sullivan,2008,187,22
1746,Michael Tyson,2017,187,2
1747,Ray-Ray McCloud,2018,187,52
1748,Donovan Peoples-Jones,2020,187,148
1749,Andy Lee,2004,188,76
1750,Danny Trevathan,2012,188,82
1751,E.J. Gaines,2014,188,2
1752,Elijah McGuire,2017,188,6
1753,Simeon Thomas,2018,188,4
1754,David Long,2019,188,122
1755,Tyler Bass,2020,188,72
1756,Malcolm Rodriguez,2022,188,60
1757,T.J. Jones,2014,189,2
1758,Anthony Brown,2016,189,114
1759,Tanzel Smart,2017,189,4
1760,Drew Forbes,2019,189,10
1761,Jake Luton,2020,189,12
1762,Amare Barno,2022,189,10
1763,Colin Jones,2011,190,8
1764,Rex Burkhead,2013,190,82
1765,Sam Tevi,2017,190,86
1766,DeShon Elliott,2018,190,106
1767,Armon Watts,2019,190,94
1768,Trey Hill,2021,190,26
1769,Jason Kelce,2011,191,378
1770,Pat O'Donnell,2014,191,56
1771,Xavier Woods,2017,191,166
1772,Marcus Epps,2019,191,84
1773,Braden Mann,2020,191,56
1774,Tarron Jackson,2021,191,8
1775,Jalen Nailor,2022,191,10
1776,Matthew Bosher,2011,192,4
1777,Darius Philon,2015,192,28
1778,Alex Armah,2017,192,0
1779,Jamil Demby,2018,192,4
1780,Isaiah Buggs,2019,192,84
1781,Jon Runyan Jr.,2020,192,160
1782,Quinton Bohanna,2021,192,56
1783,Mason Crosby,2007,193,94
1784,Tom Compton,2012,193,64
1785,Zach Fulton,2014,193,86
1786,Jordan Evans,2017,193,22
1787,Chris Covington,2018,193,0
1788,Oli Udoh,2019,193,56
1789,Spencer Ware,2013,194,12
1790,Nick O'Leary,2015,194,6
1791,Vincent Taylor,2017,194,18
1792,Russell Gage,2018,194,138
1793,Elijah Mitchell,2021,194,76
1794,Antonio Brown,2010,195,94
1795,Wes Schweitzer,2016,195,96
1796,Tanner Vallejo,2017,195,28
1797,Sebastian Joseph-Day,2018,195,188
1798,Xavier Crawford,2019,195,8
1799,Justin Herron,2020,195,42
1800,Roy Lopez,2021,195,118
1801,Jamaree Salyer,2022,195,70
1802,Blake Countess,2016,196,2
1803,Al-Quadin Muhammad,2017,196,120
1804,Tremon Smith,2018,196,46
1805,Blessuan Austin,2019,196,34
1806,Shaun Bradley,2020,196,24
1807,Gary Brightwell,2021,196,10
1808,Nate Ebner,2012,197,12
1809,Danny Vitale,2016,197,4
1810,Jeremy Clark,2017,197,0
1811,Shaun Dion Hamilton,2018,197,32
1812,Trace McSorley,2019,197,10
1813,John Penisini,2020,197,38
1814,Zach Moore,2014,198,4
1815,D.J. Jones,2017,198,214
1816,Kahlil McKenzie,2018,198,6
1817,Antoine Brooks Jr.,2020,198,8
1818,Larry Rountree,2021,198,8
1819,Grant Calcaterra,2022,198,10
1820,Tom Brady,2000,199,394
1821,Theo Riddick,2013,199,8
1822,Cody Core,2016,199,2
1823,Chase Roullier,2017,199,104
1824,Luke Falk,2018,199,4
1825,Jordan Fuller,2020,199,70
1826,Cade Mays,2022,199,10
1827,Laurent Duvernay-Tardif,2014,200,64
1828,Quandre Diggs,2015,200,234
1829,Foyesade Oluokun,2018,200,196
1830,Emeke Egbule,2019,200,10
1831,Quez Watkins,2020,200,96
1832,Brandin Echols,2021,200,42
1833,Ryan Griffin,2013,201,36
1834,Brandon Allen,2016,201,20
1835,Boston Scott,2018,201,74
1836,Rashad Fenton,2019,201,50
1837,James Proche,2020,201,26
1838,Keaontay Ingram,2022,201,10
1839,A.J. Derby,2015,202,0
1840,Anthony Zettel,2016,202,2
1841,Jack Cichy,2018,202,0
1842,Isaiah Prince,2019,202,28
1843,Chris Evans,2021,202,16
1844,Sam Koch,2006,203,42
1845,Jason McCourty,2009,203,68
1846,Ryan Jensen,2013,203,182
1847,Darius Kilgo,2015,203,2
1848,Blake Brandel,2020,203,28
1849,Virgil Green,2011,204,8
1850,Darren Waller,2015,204,180
1851,Jordan Lucas,2016,204,8
1852,Trenton Cannon,2018,204,4
1853,Travis Homer,2019,204,62
1854,Cassh Maluia,2020,204,6
1855,Shi Smith,2021,204,30
1856,Theo Jackson,2022,204,10
1857,Pierre Garcon,2008,205,4
1858,Ted Larsen,2010,205,14
1859,Stacy McGee,2013,205,8
1860,Luke Bowanko,2014,205,4
1861,Duke Shelley,2019,205,38
1862,Josh Metellus,2020,205,34
1863,Vince Williams,2013,206,80
1864,Matt Pryor,2018,206,100
1865,Kelvin Harmon,2019,206,12
1866,Landon Young,2021,206,20
1867,Matt Henningsen,2022,206,10
1868,Antoine Bethea,2006,207,34
1869,Matt Paradis,2014,207,98
1870,Jeff Driskel,2016,207,32
1871,Brandon Wilson,2017,207,22
1872,Equanimeous St. Brown,2018,207,50
1873,Ulysees Gilbert,2019,207,12
1874,Isaiah Hodgins,2020,207,30
1875,Kamu Grugier-Hill,2016,208,122
1876,Rudy Ford,2017,208,58
1877,Cedrick Wilson Jr.,2018,208,40
1878,Scott Miller,2019,208,56
1879,Jake Hanson,2020,208,10
1880,Stone Forsythe,2021,208,28
1881,Connor Heyward,2022,208,10
1882,Brice Butler,2013,209,0
1883,Quincy Enunwa,2014,209,8
1884,Maurice Canady,2016,209,8
1885,Robert Davis,2017,209,0
1886,Cornell Armstrong,2018,209,18
1887,Braxton Berrios,2018,210,72
1888,Victor Dimukeje,2021,210,18
1889,Conor McDermott,2017,211,48
1890,Jordan Thomas,2018,211,4
1891,Isaiah Rodgers,2020,211,68
1892,Demetric Felton,2021,211,16
1893,Marquis Flowers,2014,212,0
1894,Anthony Chickillo,2015,212,14
1895,Kavon Frazier,2016,212,8
1896,Greg Senat,2018,212,6
1897,Dennis Daley,2019,212,104
1898,Damar Hamlin,2021,212,58
1899,Derion Kendrick,2022,212,20
1900,Derek Anderson,2005,213,2
1901,Colby Gossett,2018,213,30
1902,Donovan Wilson,2019,213,88
1903,Jordan Glasgow,2020,213,14
1904,Rachad Wildgoose,2021,213,20
1905,Garrett Gilbert,2014,214,14
1906,Elandon Roberts,2016,214,212
1907,Peter Kalambayi,2018,214,12
1908,Darwin Thompson,2019,214,10
1909,Freddie Swain,2020,214,36
1910,Ja'Sir Taylor,2022,214,20
1911,Tommy Bohanon,2013,215,0
1912,Daniel McCullers,2014,215,8
1913,Joey Hunt,2016,215,20
1914,Bradley Bozeman,2018,215,172
1915,Markus Bailey,2020,215,50
1916,Lecitus Smith,2022,215,10
1917,Captain Munnerlyn,2009,216,6
1918,Andre Hal,2014,216,4
1919,Christian Covington,2015,216,78
1920,Nick Allegretti,2019,216,72
1921,Kamren Curl,2020,216,114
1922,Quincy Roche,2021,216,16
1923,Rakeem Nunez-Roches,2015,217,116
1924,Rico Gathers,2016,217,0
1925,Corey Levin,2017,217,32
1926,Keishawn Bierria,2018,217,2
1927,Kris Boyd,2019,217,42
1928,Jauan Jennings,2020,217,56
1929,Khalil Herbert,2021,217,74
1930,James Houston,2022,217,20
1931,J'Marcus Webb,2010,218,18
1932,Jordan Poyer,2013,218,262
1933,Kevon Seymour,2016,218,18
1934,Carter Coughlin,2020,218,30
1935,Sam Ehlinger,2021,218,20
1936,Ko Kieft,2022,218,10
1937,T.J. Carrie,2014,219,50
1938,Hayes Pullard,2015,219,2
1939,Will Parks,2016,219,40
1940,Stacy Coley,2017,219,0
1941,Geno Stone,2020,219,56
1942,Shamar Stephen,2014,220,84
1943,Ifeadi Odenigbo,2017,220,66
1944,K.J. Hill,2020,220,6
1945,Isaiah McDuffie,2021,220,28
1946,Ted Karras,2016,221,214
1947,Shalom Luani,2017,221,2
1948,Matthew Adams,2018,221,54
1949,Austin Reiter,2015,222,94
1950,Kerrith Whyte Jr,2019,222,4
1951,Eno Benjamin,2020,222,38
1952,Montaric Brown,2022,222,10
1953,Nick Williams,2013,223,122
1954,Jullian Taylor,2018,223,4
1955,Chris Claybrooks,2020,223,38
1956,Donnie Jones,2004,224,2
1957,Beau Allen,2014,224,12
1958,Bryce Hager,2015,224,18
1959,Zane Gonzalez,2017,224,60
1960,Javon Wims,2018,224,4
1961,J.R. Sweezy,2012,225,78
1962,Jake Rodgers,2015,225,4
1963,Isaac Rochell,2017,225,52
1964,Devante Downs,2018,225,32
1965,Darryl Johnson,2019,225,24
1966,Camaron Cheeseman,2021,225,18
1967,Mark Robinson,2022,225,10
1968,A.Q. Shipley,2009,226,38
1969,Bobby Hart,2015,226,88
1970,Jonathan Woodard,2016,226,2
1971,David Moore,2017,226,50
1972,Ty Summers,2019,226,16
1973,Arlington Hambright,2020,226,6
1974,Trey Smith,2021,226,160
1975,Stephen Weatherly,2016,227,42
1976,Jimmy Moreland,2019,227,26
1977,Israel Mukuamu,2021,227,20
1978,Riley Dixon,2016,228,70
1979,Marcell Ateman,2018,228,6
1980,Tommy Sweeney,2019,228,4
1981,Sterling Hofrichter,2020,228,6
1982,Tariq Carpenter,2022,228,10
1983,Adrian Colbert,2017,229,26
1984,Jason Sanders,2018,229,98
1985,James Smith-Williams,2020,229,100
1986,Matt Cassel,2005,230,0
1987,Nathan Stupar,2012,230,6
1988,Marcus Murphy,2015,230,2
1989,Josh Harvey-Clemons,2017,230,8
1990,Leon Jacobs,2018,230,26
1991,Jimmy Morrissey,2021,230,8
1992,Travin Howard,2018,231,20
1993,Ben DiNucci,2020,231,6
1994,Baylon Spector,2022,231,10
1995,Julian Edelman,2009,232,76
1996,Edmond Robinson,2015,232,6
1997,Elijah Lee,2017,232,36
1998,Carlos Davis,2020,232,6
1999,Lawrence Guy,2011,233,270
2000,Jalen Mills,2016,233,130
2001,Harrison Butker,2017,233,88
2002,Jordan Mailata,2018,233,170
2003,Chandler Cox,2019,233,0
2004,Casey Toohill,2020,233,44
2005,Andre Smith,2018,234,26
2006,Myles Gaskin,2019,234,86
2007,Clay Johnston,2020,234,18
2008,Patrick Johnson,2021,234,26
2009,Shelby Harris,2014,235,202
2010,Lac Edwards,2016,235,26
2011,Zaire Franklin,2018,235,140
2012,Mark Nzeocha,2015,236,12
2013,Dwayne Washington,2016,236,6
2014,Bo Scarbrough,2018,236,8
2015,Vernon Scott,2020,236,6
2016,Jack Anderson,2021,236,18
2017,Deane Leonard,2022,236,10
2018,Seantrel Henderson,2014,237,6
2019,Brian Mihalik,2015,237,2
2020,Isaiah Ford,2017,237,28
2021,Nick Bawden,2018,237,0
2022,Thakarius Keyes,2020,237,6
2023,Zach Sieler,2018,238,138
2024,Matt Farniok,2021,238,18
2025,Thayer Munford,2022,238,30
2026,Michael Person,2011,239,46
2027,Trevor Bates,2016,239,2
2028,Noah Brown,2017,239,82
2029,Hunter Bradley,2018,239,12
2030,Dane Jackson,2020,239,90
2031,Jonathon Cooper,2021,239,82
2032,Rodney Thomas II,2022,239,40
2033,Corey Robinson,2015,240,2
2034,Richie James,2018,240,90
2035,Christian Holmes,2022,240,20
2036,Greg Stroman,2018,241,4
2037,Chapelle Russell,2020,241,14
2038,Malcolm Smith,2011,242,60
2039,Corey Nelson,2014,242,4
2040,Cortez Broughton,2019,242,6
2041,Jonathan Garvin,2020,242,24
2042,Clark Harris,2007,243,20
2043,Kemal Ishmael,2013,243,6
2044,Kyle Fuller,2017,243,48
2045,Keion Crossen,2018,243,36
2046,Nick Scott,2019,243,68
2047,Chris Jackson,2020,243,14
2048,Jaylen Watson,2022,243,30
2049,Ricky Jean-Francois,2009,244,10
2050,Kurt Coleman,2010,244,10
2051,Trent Brown,2015,244,170
2052,Jayron Kearse,2016,244,112
2053,Treyvon Hester,2017,244,6
2054,Justin Lawler,2018,244,2
2055,Kaden Elliss,2019,244,82
2056,Christian Matthew,2022,244,20
2057,Clayton Fejedelem,2016,245,30
2058,Will Clapp,2018,245,54
2059,Tre Norwood,2021,245,26
2060,Charles Leno Jr.,2014,246,224
2061,Geoff Swaim,2015,246,26
2062,Tyler Matakevich,2016,246,40
2063,Malcolm Perry,2020,246,6
2064,Darryl Roberts,2015,247,44
2065,Malachi Dupre,2017,247,0
2066,Logan Cooke,2018,247,88
2067,Olabisi Johnson,2019,247,24
2068,Skylar Thompson,2022,247,20
2069,Kelvin Beachum,2012,248,218
2070,Austin Blythe,2016,248,170
2071,Joshua Miles,2019,248,12
2072,Will Fries,2021,248,30
2073,Clinton McDonald,2009,249,8
2074,Akeem King,2015,249,10
2075,Chris Carson,2017,249,122
2076,Michael Dogbe,2019,249,36
2077,Ben Skowronek,2021,249,48
2078,Ryan Fitzpatrick,2005,250,96
2079,Trevor Siemian,2015,250,42
2080,Pat O'Connor,2017,250,28
2081,Ryan Izzo,2018,250,16
2082,Austin Cutting,2019,250,4
2083,Tremayne Anchrum,2020,250,6
2084,Khyiris Tonga,2021,250,16
2085,Joe Walker,2016,251,18
2086,Justin Jackson,2018,251,80
2087,Dakota Allen,2019,251,14
2088,Isiah Pacheco,2022,251,70
2089,Marcus Cooper,2013,252,0
2090,Matthew Dayes,2017,252,0
2091,Ken Webster,2019,252,8
2092,Jeff Gunter,2022,252,10
2093,Auden Tate,2018,253,22
2094,Jordan Brailford,2019,253,6
2095,Terrance Mitchell,2014,254,96
2096,Korey Cunningham,2018,254,18
2097,Pressley Harvin III,2021,254,28
2098,Elijah Hicks,2022,254,10
2099,Denzelle Good,2015,255,64
2100,Tae Crowder,2020,255,136
2101,Trenton Gill,2022,255,20
2102,Ryan Succop,2009,256,60
2103,Trey Quinn,2018,256,6
2104,Jermar Jefferson,2021,257,8
2105,Dax Milne,2021,258,8
2106,Nazeeh Johnson,2022,259,10
2107,AJ Arcuri,2022,261,10
2108,Brock Purdy,2022,262,60
