"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"201",201,0.21,2.1,6.3,2.1,1.68,1.26,0.84,0.42,4.2,2.52,1.26,0.42
"202",202,0.15,1.5,4.5,1.5,1.2,0.9,0.6,0.3,3,1.8,0.9,0.3
"203",203,0.15,1.5,4.5,1.5,1.2,0.9,0.6,0.3,3,1.8,0.9,0.3
"204",204,0.13,1.3,3.9,1.3,1.04,0.78,0.52,0.26,2.6,1.56,0.78,0.26
"205",205,0.11,1.1,3.3,1.1,0.88,0.66,0.44,0.22,2.2,1.32,0.66,0.22
"206",206,0.11,1.1,3.3,1.1,0.88,0.66,0.44,0.22,2.2,1.32,0.66,0.22
"207",207,0.11,1.1,3.3,1.1,0.88,0.66,0.44,0.22,2.2,1.32,0.66,0.22
"208",208,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"209",209,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"210",210,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"211",211,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"212",212,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"213",213,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"214",214,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"215",215,0.07,0.7,2.1,0.7,0.56,0.42,0.28,0.14,1.4,0.84,0.42,0.14
"216",216,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"217",217,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"218",218,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"219",219,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"220",220,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"221",221,0.05,0.5,1.5,0.5,0.4,0.3,0.2,0.1,1,0.6,0.3,0.1
"222",222,0.02,0.2,0.6,0.2,0.16,0.12,0.08,0.04,0.4,0.24,0.12,0.04
"223",223,0.02,0.2,0.6,0.2,0.16,0.12,0.08,0.04,0.4,0.24,0.12,0.04
"224",224,0.02,0.2,0.6,0.2,0.16,0.12,0.08,0.04,0.4,0.24,0.12,0.04
"225",225,0.02,0.2,0.6,0.2,0.16,0.12,0.08,0.04,0.4,0.24,0.12,0.04
"226",226,0,0,0,0,0,0,0,0,0,0,0,0
"227",227,0,0,0,0,0,0,0,0,0,0,0,0
"228",228,0,0,0,0,0,0,0,0,0,0,0,0
"229",229,0,0,0,0,0,0,0,0,0,0,0,0
"230",230,0,0,0,0,0,0,0,0,0,0,0,0
"231",231,0,0,0,0,0,0,0,0,0,0,0,0
"232",232,0,0,0,0,0,0,0,0,0,0,0,0
"233",233,0,0,0,0,0,0,0,0,0,0,0,0
"234",234,0,0,0,0,0,0,0,0,0,0,0,0
"235",235,0,0,0,0,0,0,0,0,0,0,0,0
"236",236,0,0,0,0,0,0,0,0,0,0,0,0
"237",237,0,0,0,0,0,0,0,0,0,0,0,0
"238",238,0,0,0,0,0,0,0,0,0,0,0,0
"239",239,0,0,0,0,0,0,0,0,0,0,0,0
"240",240,0,0,0,0,0,0,0,0,0,0,0,0
"241",241,0,0,0,0,0,0,0,0,0,0,0,0
"242",242,0,0,0,0,0,0,0,0,0,0,0,0
